what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1551711197400
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1551711197404
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1551711197405
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1551711197405
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1551711197406
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1551711197407
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1551711197407
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1551711197407
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1551711197411
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1551711197413
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1551711197415
os,sysinfo,,,"win32",1551711197416
arch,sysinfo,,,"x86_64",1551711197416
ws,sysinfo,,,"win32",1551711197416
locale,sysinfo,,,"en_CA",1551711197416
processors,sysinfo,,,"8",1551711197416
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1551711197416
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1551711197416
java.specification.name,sysinfo,,,"Java Platform API Specification",1551711197416
java.specification.vendor,sysinfo,,,"Oracle Corporation",1551711197416
java.specification.version,sysinfo,,,"1.7",1551711197416
java.vendor,sysinfo,,,"Oracle Corporation",1551711197416
java.version,sysinfo,,,"1.7.0_80",1551711197416
java.vm.info,sysinfo,,,"mixed mode",1551711197416
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1551711197416
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1551711197416
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1551711197416
java.vm.specification.version,sysinfo,,,"1.7",1551711197416
java.vm.vendor,sysinfo,,,"Oracle Corporation",1551711197416
java.vm.version,sysinfo,,,"24.80-b11",1551711197416
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1551711203019
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1551711203031
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1551711203178
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1551711203245
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1551711203393
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1551711203443
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1551711203457
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1551711204396
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1551711204454
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1551711206677
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1551711220273
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1551711229768
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1551711229843
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1551711230054
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1551711230136
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1551711230137
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1551711230138
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1551711230139
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1551711230139
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1551711230140
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1551711230140
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1551711230141
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1551711230143
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1551711230144
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1551711230145
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1551711230146
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1551711230151
